Sentence,Sentiment
compared ftse index fell point day relative price change,neutral
turun kaupunkin finland based company awarded contract lemminkainen talotekniikka oy electrical installation work,positive
rt joemccann correleation dollar index spy simply amazing dx find support spy retreat like clockwork,negative
demand brisk expected order level remained high,positive
pulp production finnish kemij ñrvi also liquidated employee loose job,neutral
ssh establishes new global sale marketing group led george adam adam establishes global sale marketing group drive worldwide program supporting ssh tectia enterprise security solution,neutral
according finnair technical service measure due employment situation,neutral
long standing partnership commitment enable party develop respective operation esl shipping also opportunity update fleet improve efficiency,positive
according vauramo plant lifting equipment suitable asian chinese truck,neutral
result negotiation company decided make people redundant financial production ground,negative
operating result month period decreased profit eur turnover decreased eur compared,negative
finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit rose eur million usd third quarter eur million year earlier,positive
shell offer percent premium buy bg billion,positive
ap caterpillar post percent jump q profit steep global sale increase top wall st view cat,positive
aapl want lower wave getting smaller min,negative
value contract total usdm,neutral
finnair passenger load factor measure number sold seat share available seat dropped percentage point september,negative
finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday october operating profit eur january september eur corresponding period,positive
aim annual improvement ruukki construction operating profit eur million usd starting,positive
change medium activity seen october compared september,neutral
several large stock tacked lower however,negative
gld http stks co ow closer inspection resistance point north downward trendline chart,negative
operating profit rose eur mn eur mn,positive
operating profit net sale month period increased respectively eur eur compared,positive
qualcomm estimated first quarter profit cent share excluding certain item analyst estimate cent share,negative
worker àm ñl affected close,negative
uk winner loser aviva friend life lead ftse gainer,positive
amazon selling surveillance camera infected malware amzn amazon http co tohleqfk http co prcbtvvy,negative
result people made redundant total person laid temporarily,neutral
taking marimekko distinctly significant scale,neutral
comptel slipped net loss eur profit eur previous year,negative
cargotec corporation press release april p finnish time cargotec macgregor business area providing marine cargo handling offshore load handling solution received significant hatch cover order bulk carrier,positive
however increase signaling traffic waste network resource allows fewer smartphones connect,negative
spy weak close,negative
reached agreement union flight continue normal finnair spokesman usko maatta said,positive
christmas save sainsbury plc tesco plc,negative
metal gained percent year demand china world largest user increased,positive
operating loss pulp paper machinery unit eur mn september august compared profit eur mn year earlier,negative
helsinki afx kci konecranes said raised stake mmh holding inc owner u based morris material handling pct pct,positive
tekla defense business employ person located espoo finland,neutral
november finnish sport equipment maker amer sport oyj hel ameas said today obtained eurm schuldschein note loan pool international investor,neutral
shire see baxalta deal closing expected new rule,positive
total job reduced raahe steel work,neutral
thus group balance sheet eur goodwill company added,neutral
food trade sale amounted eur decline,negative
finnish navigation device manufacturer benefon changing name geosentric report net sale eur mn second quarter,neutral
third quarter net sale increased year year eur million comparable currency rate growth,positive
sale department store division increased sale clothing store subsidiary seppala increased meanwhile sale hobby hall decreased,positive
said losing five family month economy many make alternative arrangement save money,negative
teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,positive
overall effect mentioned measure glaston recognize non recurring expense eur million fourth quarter,neutral
negotiation resulted reduction people regular employment around half covered pension arrangement,negative
adp news may bank america bofa downgraded today rating swedish finnish paper maker stora enso oyj hel sterv finnish sector player upm kymmene oyj hel upmv underperf,neutral
neste oil corporation refining marketing company concentrating clean high quality traffic fuel,neutral
inventor issued u patent,neutral
group consolidated net sale totaled billion euro employ approximately person,neutral
comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major medium comptel dynamic os solution enable telecom service provider deliver service flexibly charge effectively,neutral
bristol port company sealed one million pound contract cooper specialised handling supply four tonne customised reach stacker konecranes,positive
main strength cooperation project lie merging know two large company,positive
company serf customer various industry including process resource industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy information technology well catering household,neutral
glencore fight back debt fear lift share,positive
finnish geosentric net sale decreased eur january march,negative
nordea definitely big sampo acquire said analyst sampo would appear agenda nordea ahead privatisation,neutral
move triggered weak demand forestry equipment uncertain market situation,negative
royal mail johnson matthey lead ftse lower,negative
however rapidly increasing cost strengthening euro challenging whole industry impacted result,negative
kep breaking market pull back http stks co rcet,positive
new series share become subject trading helsinki stock exchange main list together old series share july,neutral
adp news apr finnish business information system developer solteq oyj hel stqv said today net loss widened eur usd first quarter eur peri,negative
group month operating profit grew percent million euro,positive
los angeles based pacific office property trust acquires owns operates office property western u focusing initially market honolulu san diego los angeles phoenix,neutral
one attractive factor tablet medium company provide new way making money,positive
helsinki october ssh communication security corp board director information please contact tomi laamanen chairman tel distribution nasdaq omx helsinki ltd,neutral
new kroksberg railway tunnel built new section track harnosand veda forming part line follows coast gulf bothnia,neutral
starbucks share much sbux http co jlgrprrk,negative
operating profit improved eur mn eur mn,positive
equity index working positive engulfing march sml rut iwc smh sox small cap semi fakeout b,positive
party also agreed option allow uh extensively implement later also functionality human resource management,positive
finnish power supply solution system provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,neutral
arm holding plc partner international business machine corp drive,positive
name company holding acquired citycon oyj,neutral
production capacity increase tonne per year raw material continue recycled paper board,positive
finnish laboratory liquid handling diagnostic test system developer biohit oyj omx helsinki biobv issued tuesday june profit warning financial year,negative
cencorp net sale first quarter estimated eur compared eur first quarter,negative
borealis infrastructure putting together new severn trent bid,positive
adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur million usd first nine month eur,positive
according company lay offs temporary,neutral
forestry also higher driven yesterday bullish analyst comment stora enso dagens industri dealer said,positive
microsoft join open source eclipse foundation http co zgczakeu focus collaboration open business smart strategy msft,positive
financialwire tm cooperation investrend broadcast syndicate also provides complete daily conference call webcast schedule service shareholder investor via firstalert tm network oefirstalert tm daily,neutral
firm headquartered vantaa southern finland employee,neutral
sale tiimari segment fell year year eur june,neutral
also strong asset electronic medium employing increase percent last year,positive
finnish plumbing heating system supplier uponor net sale continuing operation decreased eur mn eur mn,neutral
estonian telecom company elisa customer number cross tallinn oct bns estonian telecommunication company elisa approximately new client nine month year bringing number end september company said,positive
company reported today operating loss eur net sale eur first quarter,negative
finnish financial software solution developer basware oyj said net profit fell euro mln first quarter mln euro mln year earlier,negative
iso omena based matinkyla district southern part city espoo southern finland,neutral
liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release,negative
etn upgrade today m overweight excellent company leadership,positive
britain ftse get lift prudential result,positive
upm said move lower net profit xac million u million second quarter mainly due impairment charge,negative
investment operational change enable additional optimisation working hour thereby cost saving,positive
answer question many visitor conversation get big team problem setting social medium channel,neutral
qcor little pullback fine era today gain not believe manipulation capable,negative
tsla announces recall stock sell stock teflon last forever,positive
fb bearish pattern considering bullish sentiment impressive bearish move http co tajfchqh,negative
fb gone green day,positive
seminar introduced modern clean technology product financial tool sponsorship program energy environment project well potential develop clean energy vietnam,positive
major order india comptel corporation received significant long term order mediation provisioning solution used leading operator india,positive
dealer said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volume tanker rate,negative
body credit fall due february,neutral
inventor ridge justin bao yiliang karczewicz marta,neutral
hyg potential continuation uptrend chart http stks co tqp,positive
arcelormittal chief executive officer lakshmi mittal already cut output furnace,negative
fcc chairman kevin martin said fair play required extending deregulatory rule digital subscriber line telecom provider use broadband network,neutral
fb churning high volume ipo price lot seller trying get might take consolidate moving higher,negative
nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent year ago quarter,positive
european share plunge roiled bhp oil hope turn ecb,negative
sdm offer general rental equipment aluminium scaffolding power generator hoist customer construction sector,neutral
metso expects net sale increase comparable exchange rate,positive
company consolidated operating profit amounted eur mn eur mn year year,positive
agreement continue good cooperationand time release capital tied ourmachinery operation,positive
current reference grade instrument challenging operate due high price complexity routine use,negative
rihko started manage raisio benecol business summer heading tobacco company altadis european operation,neutral
lifted veil various type customer design phone result social stereotyping taken fine art,neutral
finnish metso paper order supply uncoated fine paper machine mcc paper yinhe china,positive
ceo company tarmo noop said growth sale premium beer biggest,positive
ruukki forecast annual sale growth positive pretax result,positive
finland snow storm brought tree power line cutting electricity household,negative
capital expenditure energy efficiency unfortunately fallen along decline economy,neutral
ogden reportedly shell million,neutral
aapl nibbling small long via buying min chart,positive
finnish sport equipment company amer sport said decided lay worker salomon division france,negative
swedbank share hardest hit swedish bank ongoing international financial crisis,neutral
finnish energy company fortum oyj said november granted environmental permit build biofuel fired combined heat power chp plant vartan harbor eastern stockholm,positive
workforce reduced also amsterdam office netherlands,neutral
net sale kyro main business area glaston technology manufacturer glass processing machine decreased eur mn eur mn january september,negative
operating profit half glisten invested brand management team,negative
london marketwatch share price ended lower london monday rebound bank stock failed offset broader weakness ftse,negative
companiesab inbev signal go hostile sabmiller,positive
think fm challendge ema not distant future look yesterday volume,positive
sale finland decreased international sale decreased term euro term local currency,negative
acquisition support strategy close customer around world offering equipment related service,positive
however net sale declined eur million eur billion,negative
slump weir lead ftse record high,negative
kemira share closed xac u,neutral
stora enso oyj said second quarter result would fall half compared period,negative
according finnish pension insurance company varma varma recipient two third revenue earnings related pension cover competitive tendering finland,positive
rapala fishing frenzy,neutral
meggitt share price tumble profit fall challenging year,negative
omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point wednesday,positive
brief legal general retirement business book billion stg h sale,positive
change built model design communicated subcontractor accommodate steel grc fabrication process,neutral
baltic state company report net sale eur mn eur mn operative ebit eur mn eur mn,negative
every partner allowed buy quantity electricity corresponding share consortium production cost letter intent said,neutral
solteq plc announcement share repurchase helsinki stock exchange solteq plc hold total share including share repurchased,neutral
bond gathered subscription investor issued amount considered substantial taking account main target group retail investor citycon cfo eero sihvonen said,neutral
payment million litas interest long term loan provided ragutis majority shareholder estonia le coq also added loss,negative
morrison book second consecutive quarter sale growth,positive
medium term operative target company remain unchanged,neutral
last year company raised turnover approximately million litas eur mln million litas,positive
consolidated unaudited result amanda capital ifrs reporting standard,neutral
company headquartered sievi finland listed nordic exchange helsinki,neutral
profit tax eur mn eur mn,negative
fb still dog going much lower week,negative
alexandria va oct markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland developed system providing communication security,neutral
nasdaq set breakout part ii via allstarcharts http stks co nv goog amzn qcom,positive
cruising rev fall le engine output required,neutral
earnings per share eps rose eur eur,positive
carnival corporation china merchant group sign memo understanding,positive
loading spy aapl put think toppy imho,negative
sale rose mln eur compared last year mln eur line mln eur consensus figure,positive
product include personal communication product mobile phone part home communication product set top box electronics flat panel tv well communication network product base station tower top amplifier microwave system,neutral
barronsonline see apple share year today growing service business aapl http co bdneknl,positive
scanfil also issued profit warning,negative
upm stock fell percent euro early afternoon trading helsinki,neutral
chartered accountant british columbia alberta well certified public accountant washington state,neutral
group net sale stood eur million employee,neutral
copper lead nickel also dropped hbos hbos plummeted penny saying year ó,negative
comparable net sale expected increase line group target,positive
bring cost saving eur mn year,positive
bluewin security available monthly subscription,neutral
operating profit excluding non recurring item decreased eur mn eur mn representing net sale,negative
news feedftse mover ashtead jump strong interim glencore bp,positive
closing transaction took place today,neutral
spain caixabank expects close deal banco bpi,positive
shell billion bg deal meet shareholder skepticism,negative
starbucks downgraded day new downgraded reward program start sbux,negative
scanfil system supplier contract manufacturer communication sector give notice productional employee temporarily lay employee company plant sievi finland,neutral
adpnews oct finland based consultancy tieto oyj hel tiev said today net profit plunged eur million usd first nine month eur million period,negative
finnish pharmaceutical company orion net sale rose eur mn first quarter eur mn first quarter,positive
train expected cross russian territory day reaching vostochny port,neutral
cv proposed member available viewing march onwards internet www sampo com ir,neutral
adp news feb finnish printed circuit board pcb maker aspocomp group oyj hel acgv said today swung net profit eur usd versus net loss eur million,positive
easyjet attracts passenger june still lag ryanair,positive
mill raw material need increase wood,neutral
mformation nokia noted established interoperability agreement cover commercially proven standard based management mobile device well mobile device security mobile application management,positive
aapl near drop thats lot best hold er lol,negative
comprehensive range cut length slitting service allow ruukki particular serve light engineering customer relocate production st petersburg area,neutral
first industrial seek leed designation uponor new building square foot speculative distribution center first park lakeville,neutral
also strengthen existing partnership cybercom say teleste cto esko myllyla,positive
commission income fell eur mn eur mn corresponding period,negative
glencore blame rival creating metal glut,negative
statutory negotiation headquarters part decrease,neutral
beer olvi retained market position,neutral
royal mail chairman donald brydon set step,negative
viking line manages well current ferry,positive
gunneflo responsible oriola kd pharmaceutical trade business sweden,neutral
also pct month volume weighted average price stock,positive
rad chart flashing oversold,neutral
offer price million including cash million net debt assumption face million worth cencorp share issued savcor,neutral
reported operating margin negative,negative
succeed krister kylas decided leave teliasonera,neutral
arm royalty accelerate smartphone market regains strength,positive
companiesfresnillo share jump silver price break,positive
finnlines estimated annual general meeting financially tough year due large investment,neutral
espn file lawsuit verizon http stks co icj vz,negative
upon establishment plan directed approximately person,neutral
facility lettable area sq plot plant located ratasmaki business park purchased city forssa,neutral
astrazeneca diabetes drug combination face delay fda rebuff,negative
net profit eurm company paid dividend eur apiece,neutral
goog resistance turned support,positive
lscc accumulation chart continues make new high showing accumulation continuing take place http stks co adpo,positive
uvxy put chum key support next level careful,negative
sale volume coca cola market share decreased,negative
company said shareholder able vote agreement egm scheduled later month,neutral
finnish kemira net sale eur decreased eur mn january june eur mn january june,neutral
arvo vuorenmaa loviisa plant general manager said application new licence standard procedure quite confident approval granted,positive
baltic country atrium target organic growth,neutral
company goal achieve annual saving eur million usd two third realized,positive
bac swing trade look like want go,positive
net sale fell third quarter eur mn,negative
slv po saying year going lower forget go short,negative
october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur first nine month eur period year earlier,positive
facility consists seven year bullet term loan mln euro mln mln euro mln five year revolving credit facility,neutral
business organised february way production design service combined one entity etteplan operation,neutral
tekla organize information meeting analyst medium wtc helsinki marski meeting room aleksanterinkatu day p light lunch served,neutral
equipment ixonos acquires deal includes mechanical engineering hardware rf antenna measurement laboratory facility measurement audio camera display well device robot unit testing mobile device,neutral
reward paid basis earning period correspond value maximum total componenta corporation share including also proportion paid cash,neutral
production expand elcoteq location including mexico hungary,positive
stora chief executive jouko karvinen described russian tariff hike threat future forest product industry finland,negative
acom http stks co gx downside breakout look coming soon,negative
bp statoil withdraw staff algeria following rocket attack,negative
yelp wayyy overvalued right imo trading single digit may take short po earnings near term target,negative
operating profit month period decreased eur net sale increased eur compared,negative
stockmann department store total floor space square metre stockmann investment project price tag eur million,neutral
return investment roi compared first half,negative
saving full impact beginning,neutral
residentialconstruction particular picked several market,positive
addition software development new design unit provide mechanical engineering electronics design,neutral
asian traffic declined per cent,negative
real estate company posted net loss ó xa ¼ million ó xa ¼ per share compared net profit ó xa ¼ million ó xa ¼ per share corresponding quarter,negative
inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam,neutral
company employing reported net sale mln euro mln,neutral
honkarakenne oyj world leading manufacturer genuine wooden home sponsoring finnish crosscountry skier virpi kuitunen next three year,neutral
astrazeneca patent asthma drug invalidated u court,negative
biohit said reduce number leased personnel lay personnel,negative
proposal board director make annual general meeting attached whole release,neutral
operating profit totaled eur mn eur mn,negative
august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened eur first half eur corresponding period year earlier,negative
qcom chart qualcomm short retracement trendline resistance http co wqqhkoy,negative
operating loss totaled eur mn compared profit eur mn corresponding period,negative
company make marketing sale investment initiated even efficient,positive
first phase completed end,neutral
showcase end end capability mobile world congress arranged internal meego application development competition entice developer create new application,neutral
service supplier efore plc streamline operation finland u finnish electronic system service supplier efore plc omx helsinki efov said tuesday february initiated statutory negotiation regarding streamlining operation finland,positive
esi low bk real possibility,negative
agreement geosentric provide gypsii powered hotel information reservation service visitor china including popular city beijing shanghai,positive
raisio division recorded operating profit,positive
operating profit decreased nearly eur mn however,negative
nokia inaugurated manufacturing plant near chennai mar,neutral
also bringing right kind people upgrade human resource,positive
tornio work employ scope fixed period part time temporary layoff april october period,negative
lse deutsche bã¶rse dealmakers wrong ignore brexit risk,negative
glaxosmithkline target growth across unit scrap viiv ipo,positive
operating profit net sale three month period increased respectively eur eurm compared corresponding quarter,positive
update nomura rb must pay mln mortgage bond case u judge,negative
operating profit net sale three month period increased respectively eur eur compared corresponding period,positive
honored recognized gartner specialist business process modeling analysis company many largest software vendor world,positive
adp news nov finnish retail software developer aldata solution oyj omx aldv said today swung net profit eur million usd first nine month versus net loss eu,positive
amzn period rsi read connors book trading strategy,positive
stx long play another consistent profit zone check http co dqfuzozylh http co ggneayzqn,positive
purchase mp snapper nothing else,neutral
rnn day trader flushed start going slowly,positive
prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance maximum,neutral
tesco close new chairman dixons carphone john allan frame,positive
rpt old mutual q gross sale beat forecast pct,positive
mcp rolling new intraday low bottom picker continue get destroyed,negative
profit tax amounted eur mn eur mn year ago,negative
intc aapl strong tech lead dow higher,positive
combination service enabling u offer complex strengthened service chain not limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,positive
look forward take part future development company say tomas billing president nordstjernan,neutral
operating profit fell eur mn eur mn third quarter,negative
based first quarter result existing order backlog new order prospect company expects full year sale contract gross margin stay healthy level operating profit margin lower due lower sale volume,negative
finnish suominen flexible packaging cutting job unit tampere two nastola finland,negative
said sale actively marketing,neutral
timberrrr tsla http co mrbgfdhhva,negative
net interest income increased eur mn eur mn,positive
according latvian business register uponor latvia closed red lvl eur usd turnover lvl mn,neutral
implementation program negative impact earnings mr meiklejohn said,negative
altogether subject mildly elevated cholesterol level participated four month long intervention,neutral
operating profit net sale month period increased respectively eur eur compared financial year,positive
latvenergo ordered significant expansion tekla xpower network information system,positive
october finnish environmental management company lassila tikanoja oyj hel latv l said today net profit declined eur first nine month eur period year earlier,negative
hpq say breakup cost billion see saving http stks co phz,negative
short faz know mean market tank p,negative
sale boost new morrison chief david potts tesco turnaround stall,negative
following registration number issued outstanding share basware,neutral
destia oy finnish infrastructure construction service company building maintaining designing traffic route industrial traffic environment also complete living environment,neutral
kalmar espana generated net sale mln euro mln,neutral
iwm relative weakness pretty apparent short boat getting full one prefer boat closer empty,negative
report oriola kd chief executive officer eero hautaniemi,neutral
alexandria va dec united state patent issued dec assigned nokia corp espoo finland,neutral
long endp agn b rumor,positive
tullow oil suspends dividend amid oil price fall,negative
ecb mainly target inflation,neutral
operating loss totalled eur mn profit eur mn,negative
pulp production finnish kemij ñrvi also liquidated employee loose job,negative
u sanction put gazprom shell alliance plan jeopardy,negative
aapl aug call c http stks co,positive
tesla recall model x suv seat issue http co odpranxq tsla http co xvnbliwpy http co thfvwtnrps,negative
production level agreed producer long time ago fall consumption lead loss,negative
finnish sport equipment company amer sport said decided lay worker salomon division france,neutral
recent trouble simply make neteller cheaper,negative
company net sale totalled meur operating margin per cent,neutral
finland op pohjola staff union boycotting group insurance sale task company refused take sale insurance account determining wage,negative
jan ford struggling face slowing truck suv sale surfeit date got ta car,negative
due rapid expansion market share tallink term passenger carriage tallinna sadam port tallinn totaled percent november percent november,positive
teleste acquisition mark entry service business market long established significant supplier product,positive
elcoteq proven track record electronics manufacturing service em global factory network coupled modern manufacturing equipment consistent system process,positive
financial statement release available publishing company internet page www cargotec com,neutral
aspocomp intends set plant manufacture printed circuit board investment r crore,neutral
addition fireplace export demand lining stone exceeded level earlier part year continue clearly brisker remainder year,positive
scottrade tsla not available shorting time w,negative
vaisala group successful international technology company develops manufacture market electronic measurement system product,positive
roll royce ensure compliance petrobras bribery report,neutral
operating profit continuing operation fell eur mn eur mn first half,negative
still short lng area next stop could someone slammed hard shs follow,negative
cost short finally making gain take half gain,negative
pm omx helsinki index pct lower,neutral
cargotec germany gmbh awarded contract stadtverwaltung mainz chassis body open procedure,positive
savon koulutuskuntayhtyma finland based company awarded contract specialist agricultural forestry machinery,positive
measure result weak demand shipbuilding industry,negative
separate announcement helsinki stock exchange atrium revealed company third quarter profit declined eur third quarter last year eur year q,neutral
finnish construction company yit reducing number start ups market financed residential unit previously announced,neutral
maximum amount termination finland employee company added,neutral
network test business part elektrobit test automation business segment employ people finland people abroad mainly u asia,neutral
cash flow operation january december negative eur mn compared eur mn corresponding period,negative
profit period totalled eur mn eur mn corresponding period,negative
axdx got bored took proprietary profit exit like option liquidity lousy spread,negative
finnish insurance company fennia kesko group ending loyal customer cooperation,negative
ebit margin,positive
light curfew curl latest bestseller treat eye perfect reading light luceplan,neutral
according arokarhu purchase scanned cash register computer disappeared total sum key pressed,negative
ab inbev sell sabmiller stake china snow beer,neutral
profit period eur mn compared eur mn,positive
stock trading map day map sek higher day map sek bullish indicator,positive
takeover cramo become second largest rental service provider latvian market,positive
course direct access nokia ovi store lot fun downloading favorite medium,neutral
initially company said maximum people would made redundant parent company subsidiary,negative
eur q may finnish textile clothing design company marimekko oyj hel mmov said today net profit rose eur first quarter eur corresponding period year earlier,positive
come complete lcd touch screen system selection chosen function price start around pound mark,neutral
service pricing detail disclosed,neutral
authorisation force end next annual general meeting repeal authorisation acquire share given general meeting held april,neutral
companieskingfisher bid mr bricolage run trouble,negative
according viking line managing director nil erik eklund company board director satisfied viking line performance,positive
tsla upgraded buy argus w pt almost think pt run week would sell signal,positive
growth rate paying national debt extremely painful,neutral
respect decision discussion closed said kai telanne alma medium ceo,neutral
bad idea make min prediction based faith rt dandyduct aapl sell signal hit go next min,negative
salonen added data show producer pulp inventory north america declining,negative
yhoo making new hod,positive
report go provide detailed profile ten leading european specialty chemical company brief profile major player,neutral
telenor three half year contract worth estimated yit chosen telenor elisa principal supplier ict solution norway sweden denmark finland,positive
finland city forssa said not pay compensation food industry company hk ruokatalo atrium lye leak tap water occurred march,negative
com possibly also photo msn,neutral
incap furniture presently negotiating staff cut,negative
company board director would propose dividend eur per share,neutral
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale eur mn first quarter per cent smaller corresponding period,negative
divestment raisio margarine business may gave company clearer focus grain based product,positive
avc systemhaus net sale eur million usd,neutral
company not indicate level investment unit said purchased equipment nokia corporation mobile phone r laboratory jyvaeskylae,neutral
disappointment see plan folded,negative
ponsse project forest machine market improve expected previous year,positive
finnish power supply solution system provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative
finland based stockmann group closed seven franchising sport store nike russia,negative
dgi technical alert gilligan island buy setup stochastic buy signal lizard bullish hammer candlestick wid http stks co cnu,positive
company use money product development research activity key market finland germany italy france,neutral
finnish waste management cleaning group lassila tikanoja oyj l net profit went mln euro mln mln euro mln,neutral
board director proposed extraordinary general meeting authorise board decide issuance maximum mn new share one share issue,neutral
britain ftse outperforms europe royal mail tesco rise,positive
stock large player selling http stks co tvel crox gogo ino,negative
front surface valve plate directed towards,neutral
ebit excluding non recurring item totalled eur mn eur mn,positive
reported june circuit continued alternately report track vacant occupied almost constantly june part track signaling device replaced time crash according metro source,neutral
company confirmed estimate lower revenue whole year ago eur million usd given interim report august,negative
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki salv wednesday november lowered full year net sale estimate,neutral
stx move bottom still bear market datasecurity emc sndk wdc http co vkydwpxesn,negative
october finnish environmental management company lassila tikanoja oyj hel latv l said monday expects operating profit excluding non recurring item whole slightly lower,neutral
g sell flat,negative
pretax loss totalled eur mn compared loss eur mn corresponding period,neutral
net sale sata flexo group came eur group company employed total people,neutral
sbux getting sold,negative
jnk http stks co fcm not want go risk appetite still high,positive
february finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss eurm fourth quarter year earlier profit eurm,negative
real said ground rumor circulating market month,neutral
company still expects turnover slightly increase level adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,positive
brief aviva aim increase dividend pay ratio pct,positive
period end cash cash equivalent totaled eur compared eur previous year,negative
scanfil expects net sale remain level,neutral
luxembourg registered investment fund amber trust ii final approval lithuania competition council acquire percent sanitas country largest pharmaceutical producer,positive
update lloyd cut job part year restructuring plan,negative
valga lihatoostus market product mak moorits trademark,neutral
finlan listed food industry company hkscan group controlled company baltic improved revenue eur mn eur mn eur mn year,positive
original name componenta àm ñl subsidiary finnish componenta group changed àm ñl component company seen growth q comparison q,positive
solution expanded include ground staff task,neutral
tesco sale pickup enough,negative
supported nokia phone include n n gb n n n n n n n n n n n n n n n n e e e e e e e ei e e e touch xpress classic navigator classic navigator xm,neutral
ice said start lining financing lse bidding war,positive
vacon cash flow operation grew eur mn eur mn year ago,positive
rb chairman admits surprise size regulatory penalty,negative
company distributes hiab product well product,neutral
peroni grolsch put sale ab inbev plan acquisition sabmiller,positive
astrazeneca suffers setback drug fails treat eye cancer,negative
uncertainty cloud long term outlook,negative
sabmiller buy meantime quench thirst craft beer,positive
new credit suisse bos face stiff challenge asia,negative
samsung mobile application store launched january samsung mobile innovator program enables mobile software developer create application use across samsung mobile device,neutral
neither company use genetically engineered soy moment,neutral
rsa insurance hire towergate egan chief financial officer,neutral
operating loss totalled eur mn compared profit eur mn second quarter,negative
trading name velta uk former uponor brand company uponor long term partner supplying velta branded system particularly commercial industrial building sector uk internationally,neutral
agricultural newspaper maaseudun tulevaisuus reader representing decrease,negative
could u time said,neutral
adp news feb finnish wood product technology supplier raute oyj hel rutav said today net profit decreased eur million usd eur million,negative
stx finland oy signed preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku finland stockholm sweden withviking line abp,positive
saltwaternurse ino test next day time take profit hedge put,negative
micron share pounded fear loss business apple stifel defends aapl mu http stks co tzt marjo,negative
announcement pushed freenet share eur frankfurt trade eur investor gave hope united internet ag drillisch would pursue takeover breakup freenet,neutral
nasdboy think dnf crew get nflx short next day heading earnings,negative
nokia siemens network struggled make profit past two year,negative
juhani j ñrvi corporate executive vice president kesko say russian food retail sector fragmented,neutral
real corporation stock exchange release august pm real received eur million cash payment sappi real corporation part mets ñliitto group divested graphic paper business sappi limited end eur million,neutral
operating loss amounted eur mn first half compared profit eur mn first half,negative
finnish meat company atrium longer promise sufficient amount domestic beef customer,negative
finnish steel maker rautaruukki oyj ruukki said july mln euro mln contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg western sweden,positive
food trade sale amounted eur decline,neutral
kai tulonen chief technology officer sysopen digia say using corporate phonebook inside sysopen digia extensively since last fall satisfied result,positive
far norwegian norske skog reduced staff level people plan reduce production ton finnish swedish stora enso cut staff people production ton,negative
u debt lure schroders ecb depresses rate,neutral
issue thief stealing building site said mr smith,negative
corporate update c communication ltd finnish technology group teleste corporation omx helsinki tltv reported wednesday february operating profit eur net sale eur year,neutral
temporary lay offs affecting entire workforce also implemented,negative
via move company aim annual saving eurm main part expected realized year,positive
look like big feb put spread cree last quarter yoy rev growth trading x earnings may try short,negative
return investment roi compared first half,neutral
appointment kaupthing bank aim co ordinate capital market activity within group improve overall service client,positive
tiimari latvian representative ineta zaharova said company earned lvl profit time,positive
cet arcelormittal lost eur euronext paris coming lead blue chip faller,negative
trying deal slavery different perspective balance story say deramus formerly writer detroit free press detroit news,neutral
said contract estimated contribute eurm net sale,positive
spy bumping head declining daily overhead resistance big brother,negative
agreement strengthens long term partnership nokia siemens network,positive
also chile important market area forest machine company,neutral
also finnish industry investment government owned investment company participate project,neutral
rt stocktwits rt fallondpicks breadth consolidates week steady gain advance mkt breadth slowe http stks co trg qqq,negative
finnish laboratory liquid handling diagnostic test system developer biohit oyj omx helsinki biobv issued tuesday june profit warning financial year,neutral
nokia continue invest future development qt benefit user commercial lgpl,positive
finnish shipping company finnlines pretax loss totalled eur mn third quarter compared profit eur mn third quarter,negative
estonian parliament set vote amendment excise duty law wednesday would add kroon price liter diesel kroon price liter gasoline start,neutral
production scheduled start end april,neutral
january scandinavian lender sampo bank hel samas pohjola bank hel pohs svenska handelsbanken sto shb provided eurm usdm line credit lemminkainen oyj hel lem finnish construction firm said friday,neutral
metsa botnia sell stake uruguayan company metsaliitto,neutral
adpnews dec norwegian financial service group sparebank gruppen osl sbgrp said board director appointed today jarle haug managing director claim collection subsidiary sparebank gruppen finans,neutral
group revenue amount eur million half accounted export,neutral
